col,model_name,test_sharpe,test_rmse,test_spearmanr,train_cagr,train_sharpe_ratio,calmar
base,ridge,0.14540975580271673,-0.01976573056478304,0.019361510270671047,0.46986300895291433,1.262266318107604,0.8906984662341496
RSI_20,ridge,0.23654014803848183,-0.01973663366679598,0.034605915249559256,0.6816911215454216,1.6456108240782301,1.287010162343184
RSI_20_ta,ridge,0.40246361052058804,-0.019738936236070766,0.012425949930431748,0.47137369771845594,1.265229798023788,1.0449037076218401
RSI_25,ridge,0.1544095711517532,-0.019764754373039695,0.03024896472454639,0.6284172564637498,1.5536881475128554,1.0770353107862163
RSI_25_ta,ridge,0.21909745084625434,-0.01974615808003608,0.015817372254191726,0.4414592110514213,1.2070677223127573,0.8394682245345324
DT_RSI_2_20,ridge,-0.14760908732510214,-0.019432480134820504,0.20143097308492627,1.493589080767701,2.786923032672586,5.176345172362867
STO_20_1,ridge,0.24376282669075708,-0.01969964419630775,0.03383539766073882,0.6042948892351041,1.5114791465531965,1.0710704198257595
MADIFF_10_100_0,ridge,0.11407275178687841,-0.019764168982007047,0.01876939861382112,0.5271838273652809,1.3709254997380569,1.0429325269599958
MADIFF_10_100,ridge,0.15889723091177535,-0.019767946368471574,0.018886842594711465,0.5008884568805927,1.321589657051759,1.0365237357737758
MACD_10_100_5,ridge,-0.14789369146471493,-0.01970093904726237,0.07874000028912294,0.998443217440615,2.1401993579867233,3.2756294563039003
LINTRND_10,ridge,0.27330749290483763,-0.019766865618120282,0.03524755634740141,0.4848176569642757,1.2915462291824518,1.022567704996951
PR_INT_0,ridge,-0.13989250857104868,-0.018563590279691084,0.3563619293914781,3.5144300448390995,4.594495000797133,16.16637631560176
PR_INT_20,ridge,-0.03435511049009968,-0.01950167425302906,0.13500349877453988,1.3461227240438038,2.6068227001287783,4.543267954216572
CMMA_10_252,ridge,0.042587643089036835,-0.019398333298184158,0.17821984667924196,1.4266495515661393,2.7057414154361807,4.6110973806792055
ENT_2_10,ridge,0.2859649859575252,-0.019784653925199115,0.016011981859615537,0.4630478598388761,1.249065197970074,0.9059716671102211
ENT_4_16,ridge,0.19460003763514466,-0.019807817098944407,0.01929500825752069,0.5465243941930118,1.4067610634162222,0.9928901125070538
FTI_LP,ridge,0.14271672576592226,-0.019902331891639626,0.021791818647110158,0.49569483030404204,1.3118096244837636,1.080204175505528
FTI_BP,ridge,0.12712200754577924,-0.019879050796917576,0.018461392520716772,0.4693801930374093,1.2613366609454484,0.9143737932204564
FTI_BF,ridge,0.1438765918529376,-0.019821702338836622,0.014503295856318685,0.480864097467137,1.2834017303391294,0.9115527417991924
base,rf,0.48473710563997957,-0.020927852954066427,0.012097172567161647,2.3239523941055,3.643152998769366,8.866108984570776
RSI_20,rf,0.0715885998696928,-0.020658414440490054,0.08170951957360535,15.999631963154169,9.481717826590678,239.68047328175828
RSI_20_ta,rf,0.5179061789387822,-0.020909486974073473,0.019187802439303465,2.389590591385722,3.70262850458843,8.804127096184283
RSI_25,rf,0.0575357101607338,-0.02113699012212958,0.05863270426169183,3.519917969601,4.596226681784274,14.255844344560355
RSI_25_ta,rf,0.3658207536803822,-0.02071342202301508,0.026960039565836424,2.2015836558027715,3.5294950507504352,6.502363393057552
DT_RSI_2_20,rf,-0.08682525499078937,-0.02058739890810827,0.19078861418341925,5.293117731392235,5.677017736776418,29.371696134084523
STO_20_1,rf,0.18496387570902995,-0.021042389169530197,0.0291191587736098,2.898577755981148,4.132292227475944,13.261114489603711
MADIFF_10_100_0,rf,0.15572813831275897,-0.02080218122103048,0.0007430362356989961,6.1499285313165934,6.1127327992500895,53.75279906948342
MADIFF_10_100,rf,0.10309889685287629,-0.021304418479476454,0.009825604184042954,5.9578649803384,6.018787056099602,44.55111801314935
MACD_10_100_5,rf,0.14542823093807744,-0.021288075877381334,0.05646208799496107,8.259810112898874,7.034910173730749,84.41485923410525
LINTRND_10,rf,0.500537600182551,-0.02132460080039033,0.036704393724218305,6.21509384239774,6.144162533714741,54.38932626185173
PR_INT_0,rf,0.11236049319481556,-0.01961519616847914,0.34116239253128566,26.544902598121144,11.853154588497683,512.6514677142463
PR_INT_20,rf,-0.3315083739635578,-0.02105518047155996,0.08730299016948198,4.276550616751275,5.093805034672398,25.173812434506335
CMMA_10_252,rf,0.4679234490636973,-0.020982662240393968,0.14299874331940496,12.20830692789855,8.40847995306462,151.5187190176121
ENT_2_10,rf,0.25440120432148955,-0.020941497590897785,0.006704858672055519,2.212559866662001,3.5398618255777192,6.373276055286428
ENT_4_16,rf,0.3244535929364385,-0.021171249885642156,0.0067812940384848145,11.66020249979919,8.236929625862624,169.78534507298653
FTI_LP,rf,0.3003969047360657,-0.021036808226969638,0.02195742225858214,13.6066531025218,8.825432134348835,212.92029254001818
FTI_BP,rf,0.21407718644555174,-0.0207448766671585,0.0072683932655051384,5.713660471919461,5.896362692288089,47.49442934720736
FTI_BF,rf,0.03983352820561507,-0.020451610918270496,0.008615662106369038,5.795263777264663,5.937676326998345,46.49282811708455
base,gb,0.115073672584091,-0.022794402309044826,0.014673945047974845,41.478484391413005,14.52500525453513,68562.36827904821
