col,model_name,test_sharpe,test_rmse,test_spearmanr,train_cagr,train_sharpe_ratio,calmar
base,ridge,0.5276409462168878,-0.010654068399884885,0.04368737354812561,0.23222864004432187,1.2879343669530563,1.3714320312452826
RSI_20,ridge,0.42246320068589344,-0.010650006015826798,0.04738947004484102,0.27649207009339194,1.492565597165816,1.6328308224128876
RSI_20_ta,ridge,0.2744208288286917,-0.010655646095398732,0.0464953646712933,0.2469985716066272,1.3569168501488693,1.3354190008120115
RSI_25,ridge,0.3952256197909397,-0.01065186173976183,0.04555397980853539,0.2675190580756177,1.4515544717832414,1.5798404759354718
RSI_25_ta,ridge,0.315533173991476,-0.010655734289241211,0.04492550234334515,0.24060681603350953,1.3271417893457833,1.3717807860221973
DT_RSI_2_20,ridge,0.30654394532558765,-0.010566566672167493,0.149783017370065,0.5162876180517357,2.5033461058400395,3.8229841013752903
STO_20_1,ridge,0.462861422039116,-0.010656024092297439,0.04461974757523135,0.22576204650333653,1.2574635700310997,1.3332434016539567
MADIFF_10_100_0,ridge,0.46418530917616696,-0.010655518006186799,0.04480751548713688,0.2680673659250403,1.4541087163752147,1.607602149398622
MADIFF_10_100,ridge,0.42275700262881555,-0.010655763208781857,0.04503817662477226,0.2733144972400463,1.4780875061581764,1.6390692380950507
MACD_10_100_5,ridge,0.19817235972343028,-0.010624518945659855,0.0681725848339924,0.289958781985896,1.55346111596918,1.6197081838011151
LINTRND_10,ridge,0.2993323852823816,-0.010647448971044433,0.05148802213219883,0.27541548763761003,1.4875465034388315,1.5547480976541517
PR_INT_0,ridge,-0.5414599624082141,-0.010294351507166764,0.2889727329716745,0.9230873013463523,3.952423055847111,6.528648954135486
PR_INT_20,ridge,0.3509220735296713,-0.010584046344414042,0.11713680551313965,0.3953898619888607,2.0124450655021477,2.1562609730354354
CMMA_10_252,ridge,-0.3255508166127288,-0.010532371648303703,0.13747443083931807,0.4377462409625592,2.1883954007874653,2.772822203979302
ENT_2_10,ridge,0.48322052853878494,-0.01065564204696754,0.045746929215856144,0.26094269531640024,1.4214079225202931,1.4683240052771969
ENT_4_16,ridge,0.6215646643920846,-0.010663410557497529,0.04136686867995413,0.24670938574778578,1.355547269377703,1.319612766670728
FTI_LP,ridge,0.5101587207558128,-0.01065602089631017,0.04443842852990041,0.2570165962123043,1.4033253784844733,1.517817925213346
FTI_BP,ridge,0.543841108837527,-0.010653967527642638,0.04376508113802223,0.24495141675659693,1.3474042126659254,1.423821870260511
FTI_BF,ridge,0.32575245708155703,-0.010659961441815876,0.042169500927086156,0.2578062641939376,1.4069555271598662,1.4331389479133354
base,rf,0.4006329936580973,-0.010849076516661036,0.03655180235349874,1.8313293139381872,6.5471928081661845,29.239739472884494
RSI_20,rf,0.37197154560209666,-0.010852123034576283,0.05073024120111843,0.8531669521843437,3.7207871140414173,6.7282131465006065
RSI_20_ta,rf,0.4671358020614959,-0.01089062102170953,0.02919149121962955,0.861508557186214,3.7487402656292765,8.316941499649516
RSI_25,rf,0.34906771301576967,-0.010888832888316742,0.04653453647245326,1.9712451344353497,6.901437598326266,35.70818567249105
RSI_25_ta,rf,0.29250177546257344,-0.010882890624542913,0.03384977079460673,0.8559070782799485,3.72998764553258,9.745662050422542
DT_RSI_2_20,rf,0.35748329529334527,-0.010821901294140504,0.1385646011268664,1.22765556876403,4.8951706029007225,10.975592170146438
STO_20_1,rf,0.48674467099341523,-0.010824337534755809,0.05319573785541428,2.116610520283459,7.2609378467078205,33.210465310838444
MADIFF_10_100_0,rf,0.5384301109683991,-0.010824790346736744,0.03915910662798222,0.8681006346783795,3.770705685262796,8.708099229592001
MADIFF_10_100,rf,0.3436748468765768,-0.01084134965516397,0.03504676052275457,3.3725964386819607,10.138232996366423,125.28787371596275
MACD_10_100_5,rf,0.39831496025573176,-0.010827254343405658,0.058922841497540124,0.8587591535278889,3.739543888333216,10.059868924131885
LINTRND_10,rf,0.36880760923118966,-0.010818766749998864,0.048484049762080095,1.700689521155169,6.208196822375459,30.58535709587762
PR_INT_0,rf,0.16327527868878458,-0.010457045233141324,0.2533196247955781,1.935580212720844,6.8118978648098745,34.194152178521904
PR_INT_20,rf,0.5128390987792044,-0.010819083206478699,0.09697909112283001,2.01639798459538,7.013971587007003,40.49844654985702
CMMA_10_252,rf,0.3806149512419652,-0.01071180627157942,0.11347641206765273,2.235846409635399,7.55015319186605,34.546719887740274
ENT_2_10,rf,0.31955126162591674,-0.01090238320010837,0.03429668988910887,0.88628574429876,3.8311105330713446,9.715390729317685
ENT_4_16,rf,0.6023553789012704,-0.01092575565295489,0.03452914541907643,3.4965031836025533,10.408990687820351,110.4020160521253
FTI_LP,rf,0.08181424063733031,-0.010856096324803353,0.050684497649513535,2.001384974306288,6.976644950522185,37.234823736454224
FTI_BP,rf,0.28860604168723303,-0.010884996732539405,0.03516507210320315,1.6025683198058802,5.947708694651076,24.57128451923503
FTI_BF,rf,0.27977193742868206,-0.010902427649794882,0.06438264900360186,3.3115148166072546,10.004274090206314,107.20701957296158
base,gb,0.03191163438302409,-0.011311068594127905,0.039005553732832245,5.297496655274902,14.327181890293023,-inf
RSI_20,gb,0.5585877380631885,-0.011314912223831746,0.04601489930863593,5.297496655274902,14.327181890293023,-inf
RSI_20_ta,gb,0.14520898114234987,-0.011299512437920729,0.049799078850361535,5.297267753627847,14.326672488349095,24313.242295057506
RSI_25,gb,0.1497364682314966,-0.011381216633962321,0.03571345803838103,5.263373012407976,14.251306766679612,2668.5256554820317
