col,model_name,test_sharpe,test_rmse,test_spearmanr,train_cagr,train_sharpe_ratio,calmar
base,ridge,0.6990417295373772,-0.008724013308792454,0.021218260720793365,0.292898707927413,1.800394258676383,1.9374506089533723
RSI_20,ridge,0.707284878255009,-0.008645561832306506,0.06984272534484111,0.4448508519691192,2.563219315858775,2.1963290406225835
RSI_20_ta,ridge,0.6784882524059752,-0.008738112899552624,0.010710966708959923,0.28339973552697506,1.7502578582509263,1.8746173175678047
RSI_25,ridge,0.7621002367387032,-0.008671569087978254,0.0525374693895694,0.3830996682010386,2.2615836251328747,1.801342269692875
RSI_25_ta,ridge,0.6827139911238344,-0.008729805878965553,0.016374707691000766,0.2961492166445221,1.8174712295570552,1.9589518990680816
DT_RSI_2_20,ridge,0.1376445612068498,-0.007858528092825577,0.5906508524957179,1.8291390097337485,7.819100920839838,8.007000951107191
STO_20_1,ridge,0.8778827387450487,-0.008655865306227122,0.06457848460874455,0.39512527593867786,2.32121605002207,1.79260968838283
MADIFF_10_100_0,ridge,0.5687398883052082,-0.008726103519438342,0.020554042662672824,0.24068018596929264,1.5207902947891843,1.2388975459387046
MADIFF_10_100,ridge,0.5169453649129069,-0.008726474968421475,0.02051013988678662,0.22669514574981275,1.4441631124812238,1.2361885841005478
MACD_10_100_5,ridge,-0.4010436534806878,-0.008073574761237979,0.32362089222121576,1.031250951844958,5.039503586800804,3.7980760495474795
LINTRND_10,ridge,-0.07026108900710867,-0.008465492569861139,0.19355528841182018,0.7182664684341746,3.7904298663988882,2.8651959035759558
PR_INT_0,ridge,-0.24264620651068342,-0.00602341525709912,0.8650453330039198,2.9149791012390485,11.255307618857668,21.9957294468223
PR_INT_20,ridge,-0.19480706145029358,-0.008157508663403756,0.43815226856924366,1.212928808738606,5.712527351083,4.713702310723963
CMMA_10_252,ridge,-0.3835406439711509,-0.006510726513254907,0.6597314550614539,2.258517934796682,9.19546824458553,13.403455017129556
ENT_2_10,ridge,0.6539667743309018,-0.008724771798635888,0.022525462107660207,0.23624032938350092,1.496595000444598,1.3826572708705758
ENT_4_16,ridge,0.6127838554515808,-0.008727895873942005,0.02054372701085432,0.2877153062622346,1.773064770665754,1.903163722596951
FTI_LP,ridge,0.4726221670040317,-0.008735548767892884,0.020572354332203495,0.25724113571738605,1.6105565336566146,1.701584819442152
FTI_BP,ridge,0.5704266578515407,-0.008733457365406667,0.020267354492994362,0.29501782517167374,1.8115294800753587,1.9514680316466562
FTI_BF,ridge,0.5708713421169799,-0.008730188123992892,0.019526344279082376,0.2750905517663793,1.7061474573715607,1.7903613363791002
base,rf,0.21628598691180242,-0.00884275336197283,0.027675193463419144,0.8388230660382723,4.287276960946556,11.463455679980136
RSI_20,rf,0.040516568355271364,-0.007492159197088793,0.5058585428140484,2.634929416678639,10.377711306135996,97.29791886431127
RSI_20_ta,rf,0.3069701904643666,-0.008861192217397307,0.044165845783138584,1.825970827402597,7.808123862070599,48.128229328033484
RSI_25,rf,-0.22347779831157544,-0.0077837989468957525,0.440181442149432,3.1766950609441995,12.08043316507909,197.5418125400169
RSI_25_ta,rf,0.4873738128250065,-0.00885506598428502,0.032453497597826085,1.8371350998521039,7.844589473984046,57.335434595089275
DT_RSI_2_20,rf,-0.06419517845944304,-0.007420309780922028,0.6492421335432172,3.0681420888993634,11.737140600104086,81.75923146225415
STO_20_1,rf,0.1563234415870337,-0.008574714037138043,0.24998030243683883,1.7291026029800238,7.489746990032849,31.25161812166388
MADIFF_10_100_0,rf,0.4226256946748645,-0.008843163777574237,0.01871235224786115,1.8274031406511275,7.812789745610293,55.6014912841893
MADIFF_10_100,rf,0.3021219641407953,-0.008853625299899743,0.018688297652640275,0.8095042115110718,4.168427774272348,10.958189690317575
MACD_10_100_5,rf,0.2548208615114576,-0.00798278080289598,0.4010115098143361,3.014801761014872,11.568998096300104,154.63972413951086
LINTRND_10,rf,-0.16814551158889374,-0.008604226642234045,0.2360936278392502,1.4810875265003385,6.655562852771323,18.71020845409282
PR_INT_0,rf,-0.29719581612090024,-0.005012602772545742,0.8705098030453874,3.739782309676462,13.899351106451169,287.3541248189721
PR_INT_20,rf,-0.3645596620939927,-0.00809563288712896,0.48197008650607165,2.524378602335623,10.03146331785699,33.00132949993979
CMMA_10_252,rf,-0.20730658018285125,-0.005996350890961278,0.728043231408337,3.171470507276891,12.063876347412034,126.41359398201116
ENT_2_10,rf,0.5716005184378028,-0.00883000739503517,0.02095997912858666,0.808115365942945,4.162758062047651,12.699081283326851
ENT_4_16,rf,0.39065694052789623,-0.008867846783715336,0.02805531442572192,0.8482499616338632,4.325236204534863,14.520245641519397
FTI_LP,rf,0.4021337825349792,-0.008850597215477226,0.034174893610249175,0.8327383935305392,4.262720546865261,13.086018398934888
FTI_BP,rf,0.30774782542554024,-0.00887789516768708,0.01861435243717966,1.2668802668500168,5.9061193938626495,26.58463882114228
FTI_BF,rf,0.35524893553103465,-0.008860683573638634,0.027441007308113746,0.8148466357632165,4.190184039389097,14.154996408647797
base,gb,0.543559292814361,-0.009259386113928564,0.04316328377280545,4.047995778729962,14.935340911273846,81324.76587714127
RSI_20,gb,0.0072259442418444175,-0.0075455377740834715,0.4915237130393028,4.04809981651955,14.935696903720272,-inf
RSI_20_ta,gb,0.4182811442959415,-0.009317601621239905,0.04793641885474108,3.9934929876247907,14.749470955797385,1036.697439011734
RSI_25,gb,-0.1484591865618862,-0.0077993470719857445,0.4261930142534146,3.0714123880585857,11.747449449060214,179.78346730375767
RSI_25_ta,gb,0.1657628186555577,-0.009303853030135832,0.04395210046944088,2.516272724968733,10.006077397230047,64.24497479394238
DT_RSI_2_20,gb,0.06828810322817003,-0.007526878435029502,0.6350360119133309,3.305798185966416,12.491171655068863,112.16149028511187
STO_20_1,gb,0.3631849244158093,-0.008654063767571068,0.26235951026557663,4.026398967401692,14.861541152650325,2974.761205418999
MADIFF_10_100_0,gb,0.4486746367749225,-0.009378217120832182,0.03931451204373515,4.047075831774654,14.932193273607824,9308.072527800492
MADIFF_10_100,gb,0.41663814292363044,-0.009383999116046841,0.0305408870162407,2.417828781391269,9.697163945100678,75.60985013313504
MACD_10_100_5,gb,0.4293494857024739,-0.008214388913059936,0.38680398662556226,4.04809981651955,14.935696903720272,-inf
