col,tuning_sharpe,tuning_rmse,tuning_spearmanr,train_cagr,train_sharpe_ratio,train_calmar,test_spearmanr,test_sharpe,test_rmse,model_name
base,-0.32488315913631205,-0.015786100492804385,0.026945363227729308,0.29778385326487067,1.1300920790616007,1.1414782068467078,0.06239531376137555,-0.3316995293583184,0.0004166585268214029,ridge
RSI_20,0.14278776234674478,-0.015745858758768723,0.049182815986817785,0.3089728117718029,1.1631045552822683,0.8707361221449786,0.08014671712856812,0.017216039781079308,0.00041539671375769965,ridge
RSI_20_ta,-0.1281799175001701,-0.015797922750773054,0.022018739015474367,0.2726285813177245,1.0545239155044537,1.0750095538767455,0.061621457838301225,-0.4369366776657118,0.00041692965680642643,ridge
RSI_25,0.08303110887429441,-0.015759298142407653,0.04259310417415306,0.2840816991183712,1.0891663245836243,0.7434510595861112,0.07537187000114788,-0.2775556176941349,0.00041569822264263376,ridge
RSI_25_ta,-0.27206777873225374,-0.015790429243669565,0.025131710439183476,0.31260291814532915,1.1735732701256032,1.293570866594208,0.06224493898045802,-0.29190834270774185,0.00041677537166017007,ridge
DT_RSI_2_20,0.15315873852843948,-0.015388516899988247,0.22199163485739531,1.1797375148383829,3.170067850000657,7.246566348590438,0.1747041956980097,-0.29369815005667654,0.0004095733684572622,ridge
STO_20_1,0.10437949858596043,-0.015753226208272814,0.04313749341229277,0.35696559320326315,1.3019758192588449,1.067763582480383,0.07443516939658681,0.24176192610161323,0.00041565602256550164,ridge
MADIFF_10_100_0,-0.428947151727337,-0.015790281648526628,0.024456106017495295,0.2920231438005094,1.1129581383253495,1.1920866417684353,0.06386276277312551,-0.22433444157961638,0.0004167466517641093,ridge
MADIFF_10_100,-0.3407688995698686,-0.015789584893218793,0.025612877163742647,0.3022187486339334,1.143235576023361,1.1004754581783895,0.06423301328412413,-0.2515101095774335,0.0004167335215240282,ridge
MACD_10_100_5,0.11665932697048213,-0.015679040733091582,0.08265791342592806,0.6996288721258086,2.177428915932424,4.077952237083823,0.1202063282523583,0.5393999802539148,0.0004096320927466668,ridge
LINTRND_10,-0.17479612822865806,-0.015752979820760966,0.052364854347402755,0.35520520713987014,1.296812509314484,1.4262950986676903,0.07507770254718567,-0.3949619803221692,0.0004158354085220108,ridge
PR_INT_0,-0.16636685730093148,-0.014538117502780154,0.40244876977967514,2.6161709592546343,5.318438574014467,11.713689695043021,0.30345355840346744,-0.6239272824705179,0.0003987751848049278,ridge
PR_INT_20,0.2828864915490592,-0.015557748875928843,0.18791214599899847,1.0190193206710014,2.860761151338537,4.901612389505854,0.11046658604741741,-0.7574130861895921,0.0004203737849013418,ridge
CMMA_10_252,-0.013374589194310494,-0.015285800127985619,0.20929668943895968,1.2154252700408232,3.2352417298753626,5.024942274598139,0.1775314054376408,-0.08080624426031749,0.00040399992151220296,ridge
ENT_2_10,-0.40265055343950495,-0.01579830540840399,0.02662900483438287,0.29081189498875326,1.109346663811724,1.1147529887263234,0.05608285013047237,-0.35532850690338486,0.0004167437859650501,ridge
ENT_4_16,-0.2829335705063194,-0.015790977236201077,0.02480558776022727,0.2595020192770656,1.0148564639621374,0.9114609736102378,0.06230706630244758,-0.44673714722307495,0.00041673365062799004,ridge
FTI_LP,-0.2700192988361314,-0.01579728619309078,0.026455641346506374,0.2592180725242992,1.0139969371643665,0.8440416651356961,0.064476579048026,-0.30645522062850783,0.00041650273333445633,ridge
FTI_BP,-0.39522864277998904,-0.0157896912389183,0.026633797523937824,0.27698636076433925,1.0679095169697572,1.0303225762112012,0.06648481626441648,-0.4763229427422813,0.00041644799340571643,ridge
FTI_BF,-0.2619832468536309,-0.015813000671908873,0.027097002893141285,0.3158566144136665,1.1833610589628791,1.2515836068873356,0.053382588977705044,-0.36498097902374177,0.000417162434765265,ridge
base,0.028932584549386364,-0.016081856160844968,0.0027344868234250295,2.418232844485164,5.067297258020536,18.332490436176546,0.07935085240361218,0.7018657033875039,0.0004369779835893318,rf
RSI_20,-0.20153259384068972,-0.0158692970187113,0.11230179656663733,16.46566323114887,15.424441368213087,987.9374746797637,0.15344057123809138,0.36327634141247184,0.00043376379858366674,rf
RSI_20_ta,0.0715624105711232,-0.016104535697752397,0.013505255162676113,2.2923658420212076,4.9021533591309785,21.046332247406173,0.09746572661082507,0.9393243487038008,0.0004372236000199675,rf
RSI_25,-0.26602100367445414,-0.015938608338256787,0.08334621756313135,4.1738884687141855,7.008703557158806,55.56764754312802,0.13178295068813956,0.9549176414584015,0.00043511548578750026,rf
RSI_25_ta,-0.03010008162112542,-0.016044110601047316,0.016067277703712336,2.0670180165695453,4.594037119158368,14.66551356623098,0.09910150193021719,1.0171803267380792,0.0004400646039257442,rf
DT_RSI_2_20,0.2513442489825367,-0.015627446584362027,0.22001424693714505,14.40120418138619,14.194998768629098,702.3025120231559,0.15640992118064723,-0.21295520195602852,0.00045301115019304487,rf
STO_20_1,-0.16965388046596647,-0.015934828084538867,0.03981022002011982,16.362231341460372,15.363066915104266,981.7315758668386,0.08118475997628516,0.8272675817217406,0.00044282414792897053,rf
MADIFF_10_100_0,0.22080733356473736,-0.016149435517391238,0.005582989548130017,2.275489956170555,4.879635174461678,21.61087542670024,0.05968379080821589,0.5960352569243021,0.0004395892022516472,rf
MADIFF_10_100,-0.09662842374513457,-0.016087119658125336,-0.004671919805639373,2.4251666915916665,5.076218569114344,19.601394325427854,0.05010648192233954,0.6289908383436128,0.0004381506978750007,rf
MACD_10_100_5,-0.015076739742862966,-0.015895074811930948,0.08450058874709317,3.261436426429894,6.0704893734599725,42.28789294386813,0.09418672815151591,1.3242719342334275,0.0004321425877016473,rf
LINTRND_10,0.09397961091042065,-0.015993379152359932,0.036012526923793114,2.745564421381393,5.476255885177796,29.888829411174505,0.08039067226713342,1.2638630634864467,0.00043179088285234666,rf
PR_INT_0,-0.1042510775465774,-0.014896704856527113,0.37595783367097374,15.226042097928612,14.687741190123383,1460.4596350999257,0.25754021768586066,-0.29381096884217933,0.000432011699707308,rf
PR_INT_20,-0.0798311378021118,-0.015961177907493733,0.16549649008664416,3.842436494675356,6.681897290801001,34.051316843283686,0.09385791437024836,-0.13303795785265982,0.0004714724657356344,rf
CMMA_10_252,-0.07461683792875615,-0.015692303946109633,0.1980784809103283,14.74121165249753,14.398470559544455,399.61934671288844,0.1545248277039535,0.4216387609898358,0.0004279586026087476,rf
ENT_2_10,0.34534768461179505,-0.01607963190387799,0.014224688134220554,2.218975640558453,4.803637367803835,21.265017406664732,0.07941431347568521,0.8851729151898815,0.00043513894028086105,rf
ENT_4_16,0.041573895109222346,-0.016066955238719732,-0.0006124486714613686,2.3779446983266523,5.014988230798486,20.594340981384743,0.038147884776393665,1.3147356868536018,0.00043780145060610666,rf
FTI_LP,0.049509856303774344,-0.01613323277143542,-0.004286650012086534,2.3535960083079592,4.983117111877583,19.132828204299475,0.04797204176025376,0.750842598275125,0.0004394881145393089,rf
FTI_BP,-0.0938956955577492,-0.016033632567439917,0.0015220423556428866,2.4224913130768693,5.072836791405365,24.661221568845928,0.061049248319767595,0.8692497110012585,0.0004385962143500926,rf
